parameter,FAST_v1_greedy_outer5,FAST_3x3_greedy,FAST_meta647_ablation_canales,ch521_FULL_5x5,reference_102_FULL_5x5,FASTPP_planned_800ep
script,run_vae_clf_ad_inference.py,run_vae_clf_ad_inference.py,ablation_canales.py,run_vae_clf_ad_inference.py,run_vae_clf_ad_inference.py,run_vae_clf_ad_inference.py
date_range,2026-05-15,2026-05-15/16,2026-06-22,2026-06-22/23,2026-06-22 (training),2026-07-01 (planned)
outer_folds,5,3,3,5,5,3
inner_folds,UNKNOWN,3,UNKNOWN,5,5,3
latent_dim,128,128,128,384,384,384
epochs_vae,960,960,300,10000,10000,800
beta_vae,2.5,2.5,2.5,3.75,3.75,3.75
lr_scheduler_T0,80,80,30,80,80,80
beta_cycles,12,12,4,125,125,10
early_stopping_patience,240,240,30,560,560,200
recon_loss_mode,mse_sum_batchmean_current,mse_sum_batchmean_current,UNKNOWN (ablation_canales),mse_sum_batchmean_current,mse_sum_batchmean_current,offdiag_channelmean_sum
metadata,training_ready_metadata,training_ready_metadata,patched_metadata_candidate (N=647),patched_metadata_candidate (N=647),patched_metadata_candidate (N=647),patched_metadata_candidate
N_effective,UNKNOWN,UNKNOWN,646,397 (AD+CN only),397 (AD+CN only),397 (AD+CN only)
classifier,logreg_l2,logreg_l2,logreg_fixed,logreg+svm OOF-ECDF calibrated,logreg+svm OOF-ECDF calibrated,logreg_l2 (no calibrate)
n_iter_logreg,1 (dummy),1 (dummy),FIXED,500,500,100
channels_evaluated,"[0-6] singles only","[0-6] singles + [1,X] pairs","[0-6] singles greedy + pairs + triples","[5,2,1] only","[1,0,2] only","[1]; [1,0]; [1,0,2]; [4,0,1]; [3,0,1]; [5,0,1]; optional [3,4,0,1]"
greedy_strategy,constructive_greedy_forward,constructive_greedy_forward,constructive_greedy_forward,fixed_candidate,fixed_final,fixed_candidates_parallel
val_split_strategy,UNKNOWN (pre-valsplitfix),UNKNOWN (pre-valsplitfix),Manufacturer+ResearchGroup with abort,Manufacturer+ResearchGroup with abort,Manufacturer+ResearchGroup with abort,Manufacturer+ResearchGroup with abort
comparability_note,stale (outer=5 flagged),valid for within-run ranking only,NOT comparable to FULL (script+epochs+ld differ),comparable to reference (same full config),FINAL SELECTED,cross-channel comparable via offdiag_channelmean_sum
