result_id,description,bspc_status,classification,evidence_source,duplication_flag,notes
promoted_model_adni_internal_performance,"ADNI internal ROC-AUC/PR-AUC/BACC for locked [1,0,2] latent384 beta3.75 (0.7952/0.5739/0.7260)",published_main,prior_published_baseline,REPRODUCIBILITY_LEDGER_BSPC_POSTREVISION.md; Fig-2-or-3_ClassificationPerformance,HIGH,"SIPAIM must cite as the frozen reference, never re-report as a new SIPAIM finding."
promoted_model_interpretability_signature,Edge lollipop / heatmap / lateralization / saliency-vs-Cohen's-d interpretability panel,published_main,prior_published_baseline,Fig-3_InterpretabilitySignature_q1,HIGH,Not part of SIPAIM scope; no overlap expected but must not be re-derived under a new name.
promoted_model_connectome_signature,MNI glass-brain connectome + systems-level consensus signature (6 panels: heatmap/edges/laterality/saliency/glass-brain/node-strength),published_main,prior_published_baseline,Fig-4_MNI_Connectome_q1; fig4A-F_*,NONE,No SIPAIM overlap.
channel_ablation_sensitivity,"Channel-subset ablation table/figure (ch1-only, [1,2], [1,0,2], etc., FULL 5x5 comparisons)",published_supplementary,prior_published_baseline,"Sup_ChannelSensitivity (Fig_ChannelSensitivity_v2.pdf, channel_sensitivity_figure_package_20260620)",HIGH,"DUPLICATION RISK: this exact figure/table is already BSPC supplementary content. The recent ch1-only beta3.75/beta4.5 preflight work (results/revision_bspc_2026/channel_ablation_full_audit_20260711/, ch1only_oasis_cdr_and_beta4p5_preflight_20260711/) reuses this same package as its evidence source. If the compact SIPAIM manuscript restates channel-ablation numbers, it MUST cite BSPC supplementary, not present them as new SIPAIM contributions."
shap_interpretability,"SHAP top-20 / top-3-latent violin plots (Age and latent features, unfrozen fold-3 LOGREG)",published_supplementary,prior_published_baseline,Sup_S6_A/B_shap_*,NONE,No SIPAIM overlap.
yeo_chord_network_organization,Yeo-7 chord diagram (AAL3 manual networks),published_supplementary,prior_published_baseline,Sup_YeoChord_AAL3manual,NONE,No SIPAIM overlap.
umap_per_fold_manufacturer,Per-fold UMAP colored by manufacturer (qualitative site/manufacturer visualization),published_supplementary,prior_published_baseline,Sup_UMAP_per_fold_manufacturer,MEDIUM,"Topically related to SIPAIM Figures 1-3 (manufacturer-stratified performance, residualized-PCA, covariance geometry) but methodologically distinct (UMAP vs residualized PCA / Ledoit-Wolf covariance geometry). SIPAIM text should explicitly differentiate from this BSPC figure to avoid appearance of restating a published visualization under new methodology without acknowledgment."
umap_per_fold_diagnosis,Per-fold UMAP colored by diagnosis (detailed),published_supplementary,prior_published_baseline,Sup_UMAP_per_fold_detailed,NONE,No direct SIPAIM overlap (diagnosis-only view; not manufacturer/transport-focused).
manufacturer_stratified_stageB_performance,Figure 1: Manufacturer-stratified Stage-B classification performance (locked model),not_in_bspc,new_primary,site_geometry_analysis_protocol_v4.tex Sec.'Figure 1'; results/sipaim_2026/manufacturer_transport_and_supported_sites/,NONE,BSPC has only a qualitative UMAP-by-manufacturer view; this is the first quantified manufacturer-stratified performance breakdown.
perfold_pca_residualized_latent,Figure 2: Per-fold PCA of nuisance-residualized latent space,not_in_bspc,new_primary,site_geometry_analysis_protocol_v4.tex Sec.'Figure 2',NONE,New method (residualization + fold-local PCA); BSPC's UMAP is unresidualized and not fold-local in the same sense.
